category,asin,n
rx6700,B08YK97LKC,190
rx6800,B08THKRCSR,172
rtx3070,B08L8KC1J7,160
rtx3070,B08LW46GH2,101
rx6700,B08YX8D8ST,88
rtx3060,B08WM28PVH,81
rtx3070,B08L8JNTXQ,80
rx6700,B08Y934HZQ,77
rtx3070,B08LF1CWT2,71
rtx3070,B08L8L9TCZ,69
rtx3070,B08L8L71SM,62
rx6900xt,B08Q2R71CS,51
rtx3060,B08WHJPBFX,48
rtx3060,B08W8DGK3X,43
rtx3060,B08WGTL4CW,40
rtx3070,B08L8LG4M3,40
rtx3060,B08X4V8N5Q,38
rtx3060ti,B083Z5P6TX,38
rx6900xt,B08Q9SCPGD,36
rtx3070,B08KWN2LZG,33
rx6700,B08YKFS27X,29
rx6900xt,B08R81J62G,28
rtx3080,B08HR3Y5GQ,25
rx6800xt,B08T9H18TJ,24
rx6700,B08YKH7VMN,22
